study id	Exclude	study name	study identifier	study published	experiment id	experiment name	chemical	animal group id	animal group name	lifestage exposed	lifestage assessed	species	species strain	generation	animal description	animal description (with N)	sex	route	treatment period	duration exposure	endpoint id	endpoint name	system	organ	effect	effect subtype	diagnostic	tags	observation time	data type	doses	dose units	response units	expected adversity direction	maximum endpoint change	low_dose	NOEL	LOEL	FEL	high_dose	key	dose index	dose	N	incidence	response	stdev	lower_ci	upper_ci	pairwise significant	percent control mean	percent control low	percent control high
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2438	apoE4 mouse	PND 10	PND 120	Mouse	Mouse Apoe4	F1	F1 Mouse, Apoe4 (♂)	F1 Mouse, Apoe4 (♂, N=10-12)	Male	oral	developmental		24186	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	14.45203746	10				30	37737	0	0	10		39.51	19.10015707	25.85	53.17	FALSE	0	-42.3741479	42.3741479
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2438	apoE4 mouse	PND 10	PND 120	Mouse	Mouse Apoe4	F1	F1 Mouse, Apoe4 (♂)	F1 Mouse, Apoe4 (♂, N=10-12)	Male	oral	developmental		24186	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	14.45203746	10				30	37738	1	10	12		45.22	21.33886595	31.66	58.78	FALSE	14.45203746	-31.4809985	60.38507342
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2438	apoE4 mouse	PND 10	PND 120	Mouse	Mouse Apoe4	F1	F1 Mouse, Apoe4 (♂)	F1 Mouse, Apoe4 (♂, N=10-12)	Male	oral	developmental		24186	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	14.45203746	10				30	37739	2	30	12		42.43	15.90022641	32.33	52.53	FALSE	7.390534042	-32.02849416	46.80956225
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2437	apoE3 mouse	PND 10	PND 120	Mouse	Mouse Apoe3	P0	P0 Mouse, Apoe3 (♂)	P0 Mouse, Apoe3 (♂, N=9-10)	Male	oral	developmental		24190	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	59.32102442	10				30	37740	0	0	10		16.79	5.312626469	12.99	20.59	FALSE	0	-27.73509481	27.73509481
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2437	apoE3 mouse	PND 10	PND 120	Mouse	Mouse Apoe3	P0	P0 Mouse, Apoe3 (♂)	P0 Mouse, Apoe3 (♂, N=9-10)	Male	oral	developmental		24190	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	59.32102442	10				30	37741	1	10	9		21.38	5.37	17.25	25.51	FALSE	27.33770101	-5.224342836	59.89974486
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2437	apoE3 mouse	PND 10	PND 120	Mouse	Mouse Apoe3	P0	P0 Mouse, Apoe3 (♂)	P0 Mouse, Apoe3 (♂, N=9-10)	Male	oral	developmental		24190	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	59.32102442	10				30	37742	2	30	10		26.75	3.541750979	24.22	29.28	TRUE	59.32102442	25.45033361	93.19171522
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2436	apoE2 mouse	PND 10	PND 120	Mouse	Mouse Apoe2	P0	P0 Mouse, Apoe2 (♂)	P0 Mouse, Apoe2 (♂, N=8-12)	Male	oral	developmental (PND 10)	PND 10	24191	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	-24.45372751	10				30	37743	0	0	8		31.12	15.8391919	17.88	44.36	FALSE	0	-49.87920328	49.87920328
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2436	apoE2 mouse	PND 10	PND 120	Mouse	Mouse Apoe2	P0	P0 Mouse, Apoe2 (♂)	P0 Mouse, Apoe2 (♂, N=8-12)	Male	oral	developmental (PND 10)	PND 10	24191	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	-24.45372751	10				30	37744	1	10	12		23.51	8.521689973	18.1	28.92	FALSE	-24.45372751	-55.2760053	6.368550289
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2436	apoE2 mouse	PND 10	PND 120	Mouse	Mouse Apoe2	P0	P0 Mouse, Apoe2 (♂)	P0 Mouse, Apoe2 (♂, N=8-12)	Male	oral	developmental (PND 10)	PND 10	24191	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	-24.45372751	10				30	37745	2	30	11		35.6	12.23834548	27.38	43.82	FALSE	14.39588689	-32.16613906	60.95791284
174123	TRUE	Reverte et al. 2013		FALSE	1345	Developmental neurotoxicity	PBDE 209	2435	apoE4 mouse	PND 10	PND 120 and PND 360	Mouse	Mouse Apoe4	P0	P0 Mouse, Apoe4 (♀)	P0 Mouse, Apoe4 (♀, N=11-12)	Female	oral	developmental		24192	Morris water maze (latency)			Learning and memory: water maze	Latency to find platform	Morris water maze		PND 120	Continuous	0.0, 10.0, 30.0 mg/kg-day	mg/kg-day	sec	0	-5.052631579	10				30	37746	0	0	12		42.75	22.7245066	28.31	57.19	FALSE	0	-42.53425099	42.53425099
